,Chapter,Words,Word_Count
0,chapter 1,chapter,1
1,chapter 1,1,1
2,chapter 1,marseilles,5
3,chapter 1,the,214
4,chapter 1,arrival,2
5,chapter 1,on,18
6,chapter 1,24th,1
7,chapter 1,of,67
8,chapter 1,february,1
9,chapter 1,1810,1
10,chapter 1,look,5
11,chapter 1,out,5
12,chapter 1,at,28
13,chapter 1,notre,1
14,chapter 1,dame,1
15,chapter 1,de,1
16,chapter 1,la,5
17,chapter 1,garde,1
18,chapter 1,signalled,1
19,chapter 1,three,7
20,chapter 1,master,3
21,chapter 1,pharaon,8
22,chapter 1,from,12
23,chapter 1,smyrna,1
24,chapter 1,trieste,1
25,chapter 1,and,108
26,chapter 1,naples,2
27,chapter 1,as,29
28,chapter 1,usual,2
29,chapter 1,a,70
30,chapter 1,pilot,6
31,chapter 1,put,2
32,chapter 1,off,6
33,chapter 1,immediately,2
34,chapter 1,rounding,1
35,chapter 1,chateau,1
36,chapter 1,d'if,1
37,chapter 1,got,1
38,chapter 1,board,6
39,chapter 1,vessel,10
40,chapter 1,between,3
41,chapter 1,cape,1
42,chapter 1,morgion,1
43,chapter 1,rion,1
44,chapter 1,island,6
45,chapter 1,according,2
46,chapter 1,to,93
47,chapter 1,custom,2
48,chapter 1,ramparts,1
49,chapter 1,fort,1
50,chapter 1,saint,1
51,chapter 1,jean,1
52,chapter 1,were,8
53,chapter 1,covered,1
54,chapter 1,with,33
55,chapter 1,spectators,2
56,chapter 1,it,23
57,chapter 1,is,29
58,chapter 1,always,4
59,chapter 1,an,6
60,chapter 1,event,1
61,chapter 1,for,33
62,chapter 1,ship,6
63,chapter 1,come,7
64,chapter 1,into,8
65,chapter 1,port,3
66,chapter 1,especially,2
67,chapter 1,when,7
68,chapter 1,this,14
69,chapter 1,like,2
70,chapter 1,has,14
71,chapter 1,been,11
72,chapter 1,built,1
73,chapter 1,rigged,1
74,chapter 1,laden,2
75,chapter 1,old,4
76,chapter 1,phocee,1
77,chapter 1,docks,1
78,chapter 1,belongs,1
79,chapter 1,owner,17
80,chapter 1,city,1
81,chapter 1,drew,1
82,chapter 1,had,15
83,chapter 1,safely,1
84,chapter 1,passed,2
85,chapter 1,strait,1
86,chapter 1,which,16
87,chapter 1,some,4
88,chapter 1,volcanic,1
89,chapter 1,shock,1
90,chapter 1,made,4
91,chapter 1,calasareigne,1
92,chapter 1,jaros,1
93,chapter 1,islands,1
94,chapter 1,doubled,1
95,chapter 1,pomegue,1
96,chapter 1,approached,2
97,chapter 1,harbor,4
98,chapter 1,under,1
99,chapter 1,topsails,2
100,chapter 1,jib,4
101,chapter 1,spanker,3
102,chapter 1,but,14
103,chapter 1,so,10
104,chapter 1,slowly,1
105,chapter 1,sedately,1
106,chapter 1,that,37
107,chapter 1,idlers,1
108,chapter 1,instinct,1
109,chapter 1,forerunner,1
110,chapter 1,evil,1
111,chapter 1,asked,6
112,chapter 1,one,10
113,chapter 1,another,2
114,chapter 1,what,10
115,chapter 1,misfortune,5
116,chapter 1,could,3
117,chapter 1,have,29
118,chapter 1,happened,3
119,chapter 1,however,1
120,chapter 1,those,3
121,chapter 1,experienced,1
122,chapter 1,in,33
123,chapter 1,navigation,1
124,chapter 1,saw,6
125,chapter 1,plainly,1
126,chapter 1,if,14
127,chapter 1,any,6
128,chapter 1,accident,1
129,chapter 1,occurred,1
130,chapter 1,was,37
131,chapter 1,not,25
132,chapter 1,herself,1
133,chapter 1,she,9
134,chapter 1,bore,1
135,chapter 1,down,2
136,chapter 1,all,11
137,chapter 1,evidence,1
138,chapter 1,being,1
139,chapter 1,skilfully,1
140,chapter 1,handled,1
141,chapter 1,anchor,3
142,chapter 1,cockbill,1
143,chapter 1,boom,1
144,chapter 1,guys,1
145,chapter 1,already,2
146,chapter 1,eased,1
147,chapter 1,standing,1
148,chapter 1,by,6
149,chapter 1,side,3
150,chapter 1,who,19
151,chapter 1,steering,1
152,chapter 1,towards,3
153,chapter 1,narrow,2
154,chapter 1,entrance,1
155,chapter 1,inner,1
156,chapter 1,young,19
157,chapter 1,man,15
158,chapter 1,activity,2
159,chapter 1,vigilant,1
160,chapter 1,eye,1
161,chapter 1,watched,1
162,chapter 1,every,3
163,chapter 1,motion,1
164,chapter 1,repeated,1
165,chapter 1,each,1
166,chapter 1,direction,1
167,chapter 1,vague,1
168,chapter 1,disquietude,1
169,chapter 1,prevailed,1
170,chapter 1,among,1
171,chapter 1,much,5
172,chapter 1,affected,1
173,chapter 1,crowd,1
174,chapter 1,he,50
175,chapter 1,did,9
176,chapter 1,await,1
177,chapter 1,jumping,1
178,chapter 1,small,1
179,chapter 1,skiff,4
180,chapter 1,desired,1
181,chapter 1,be,11
182,chapter 1,pulled,1
183,chapter 1,alongside,2
184,chapter 1,reached,1
185,chapter 1,rounded,1
186,chapter 1,reserve,1
187,chapter 1,basin,1
188,chapter 1,person,1
189,chapter 1,approach,1
190,chapter 1,left,6
191,chapter 1,his,29
192,chapter 1,station,1
193,chapter 1,hat,1
194,chapter 1,hand,3
195,chapter 1,leaned,1
196,chapter 1,over,4
197,chapter 1,ship's,1
198,chapter 1,bulwarks,1
199,chapter 1,fine,1
200,chapter 1,tall,1
201,chapter 1,slim,1
202,chapter 1,fellow,3
203,chapter 1,eighteen,1
204,chapter 1,or,5
205,chapter 1,twenty,4
206,chapter 1,black,1
207,chapter 1,eyes,5
208,chapter 1,hair,1
209,chapter 1,dark,1
210,chapter 1,raven's,1
211,chapter 1,wing,1
212,chapter 1,whole,1
213,chapter 1,appearance,1
214,chapter 1,bespoke,1
215,chapter 1,calmness,1
216,chapter 1,resolution,1
217,chapter 1,peculiar,1
218,chapter 1,men,2
219,chapter 1,accustomed,1
220,chapter 1,their,3
221,chapter 1,cradle,1
222,chapter 1,contend,1
223,chapter 1,danger,1
224,chapter 1,ah,4
225,chapter 1,you,73
226,chapter 1,dantes,32
227,chapter 1,cried,3
228,chapter 1,what's,1
229,chapter 1,matter,1
230,chapter 1,why,7
231,chapter 1,such,2
232,chapter 1,air,2
233,chapter 1,sadness,1
234,chapter 1,aboard,1
235,chapter 1,great,3
236,chapter 1,m,16
237,chapter 1,morrel,22
238,chapter 1,replied,9
239,chapter 1,me,30
240,chapter 1,civita,1
